"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-08-31,"Hoxie","KS",,"Sheridan",13023,1024,0.0128585558852621,0.0448979591836735,0.182448036951501,517
2015-08-31,"Lake Hamilton","FL","Lakeland","Polk",13024,945,-0.00211193241816262,0.0150375939849624,0.0582306830907055,473
2015-08-31,"Reamstown","PA","Lancaster","Lancaster",13025,1052,0.0243427458617332,0.0426164519326065,-0.0232126276694522,1004
2015-08-31,"Cement","OK",,"Caddo",13026,772,0.0104712041884817,0.0307076101468625,0.0677731673582296,429
2015-08-31,"Manly","IA","Mason City","Worth",13027,1015,0.00694444444444444,-0.0107212475633528,0.0336048879837067,468
2015-08-31,"Cannon Falls","MN","Red Wing","Goodhue",13028,1296,0.0062111801242236,0.0125,0.0101325019485581,1465
2015-08-31,"Primm Springs","TN","Nashville","Williamson",13029,1456,0.0181818181818182,0.0635500365230095,0.114854517611026,627
2015-08-31,"Lookout Mountain","TN","Chattanooga","Hamilton",13030,2521,0.140723981900452,0.115980522355024,0.0357436318816763,782
2015-08-31,"Redkey","IN",,"Jay",13031,716,0.00280112044817927,0.00845070422535211,0.0302158273381295,702
2015-08-31,"Rawlings","MD","Cumberland","Allegany",13032,1226,-0.00648298217179903,-0.0323599052880821,-0.0569230769230769,712
2015-08-31,"Raymond","MN","Willmar","Kandiyohi",13033,1186,-0.0141313383208645,-0.0182119205298013,-0.0572337042925278,415
2015-08-31,"New Haven","VT",,"Addison",13034,1686,0.00596658711217184,0.0181159420289855,0.112137203166227,609
2015-08-31,"Boomer","NC","North Wilkesboro","Wilkes",13035,920,-0.001085776330076,0.00217864923747277,-0.170423805229937,438
2015-08-31,"Hooper","NE","Fremont","Dodge",13036,932,0.0448430493273543,0.0639269406392694,0.137973137973138,511
2015-08-31,"Town of Marathon","NY","Cortland","Cortland",13037,1436,-0.0116999311768754,0.0220640569395018,-0.0224642614023145,495
2015-08-31,"Reeseville","WI","Beaver Dam","Dodge",13038,1005,-0.0252182347235693,-0.0554511278195489,-0.0685820203892493,601
2015-08-31,"Occidental","CA","Santa Rosa","Sonoma",13039,2257,-0.00132743362831858,0.0143820224719101,0.0993667803214808,716
2015-08-31,"Griswold","IA",,"Cass",13040,1082,-0.00915750915750916,-0.00642791551882461,0.148619957537155,607
2015-08-31,"Worley","ID","Coeur d'Alene","Kootenai",13041,1569,0.0248203788373612,0.0234833659491194,0.240316205533597,955
2015-08-31,"Parchment","MI","Kalamazoo","Kalamazoo",13042,895,0.0112994350282486,-0.0303358613217768,0,1094
2015-08-31,"Fort Benton","MT",,"Chouteau",13043,999,0.0101112234580384,0.0395421436004162,0.234857849196539,471
2015-08-31,"Elk Township","PA","Philadelphia","Chester",13044,1922,-0.0148641722193747,-0.0238699847638395,0.0131787032156036,503
2015-08-31,"Fairfax","OK","Tulsa","Osage",13045,762,-0.00522193211488251,0.0106100795755968,-0.0193050193050193,602
2015-08-31,"Mannington","NJ","Philadelphia","Salem",13046,1275,-0.0700218818380744,-0.17741935483871,-0.14544235924933,434
2015-08-31,"Dravosburg","PA","Pittsburgh","Allegheny",13047,834,-0.00950118764845606,-0.0141843971631206,-0.00119760479041916,611
2015-08-31,"Hardin","KY",,"Marshall",13048,805,0.0100376411543287,-0.0170940170940171,-0.00371287128712871,453
2015-08-31,"South Canaan","PA",,"Wayne",13049,1281,-0.00697674418604651,0,-0.0236280487804878,552
2015-08-31,"Laurel Hollow","NY","New York","Nassau",13050,5837,0.0690476190476191,0.0741626794258373,-0.0130199526547176,576
2015-08-31,"Valley Springs","SD","Sioux Falls","Minnehaha",13051,1133,-0.00351802990325418,-0.0215889464594128,-0.019047619047619,568
2015-08-31,"Allison","IA",,"Butler",13052,975,0.0166840458811262,0.00723140495867769,0.0992108229988726,456
2015-08-31,"Pelham","TN",,"Grundy",13053,922,0.001085776330076,-0.00431965442764579,0.0267260579064588,469
2015-08-31,"Chancellor","AL","Enterprise","Coffee",13054,998,-0.00893743793445879,-0.0357487922705314,-0.0118811881188119,471
2015-08-31,"North Lewisburg","OH","Urbana","Champaign",13055,1035,0.0187007874015748,0.0402010050251256,-0.00384985563041386,557
2015-08-31,"Genoa","WV","Huntington","Wayne",13056,1011,-0.0155793573515093,-0.0325358851674641,0.202140309155767,2566
2015-08-31,"Perryopolis","PA","Pittsburgh","Fayette",13057,1104,-0.00986547085201794,-0.0212765957446809,0.0317757009345794,682
2015-08-31,"Wildwood","GA","Chattanooga","Dade",13058,941,0.00212992545260916,-0.00212089077412513,0.0107411385606874,497
2015-08-31,"Mouth of Wilson","VA",,"Grayson",13059,1142,0.0151111111111111,0.0334841628959276,0.0970220941402498,577
2015-08-31,"Henry","TN","Paris","Henry",13060,960,0.00734522560335782,0.0105263157894737,0.0786516853932584,551
2015-08-31,"Bean Station","TN","Morristown","Grainger",13061,908,0.00553709856035437,0.00331491712707182,0.028312570781427,500
2015-08-31,"Beaver Township","PA",,"Clarion",13062,938,0.00213675213675214,0.00428265524625268,-0.141811527904849,408
2015-08-31,"Hill City","KS",,"Graham",13063,927,0.00433369447453954,0.017563117453348,0.150124069478908,753
