"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-08-31,"Great Falls","MT","Great Falls","Cascade",559,151000,0.00398936170212766,0.00398936170212766,0.00935828877005348,0.0116549633473286,0.0189133719446726,"2009-06","2009-Q2",158400,-0.0467171717171717,"2008-07"
2015-08-31,"Spring Valley","CA","San Diego","San Diego",560,381400,0.00210194429847609,0.00792811839323467,0.0559246954595792,0.0702621939130064,-0.022220942137586,"2005-06","2005-Q2",479800,-0.20508545227178,"2004-04"
2015-08-31,"North Charleston","SC","Charleston","Charleston",561,129900,0.00541795665634675,0.01484375,0.0708985985160758,0.022364797522739,0.00297337982130519,"2006-09","2006-Q3",137700,-0.0566448801742919,"2005-11"
2015-08-31,"Cocoa","FL","Melbourne","Brevard",562,113600,0.00798580301685892,0.024346257889991,0.0829361296472831,0.0320989100688986,-0.0466655519895468,"2006-01","2006-Q1",194400,-0.415637860082305,"2004-01"
2015-08-31,"Tulare","CA","Visalia","Tulare",563,158600,0.00316255534471853,0.021249195106246,0.088538091969801,0.0538739520617835,-0.0297864257675341,"2006-07","2006-Q3",238300,-0.334452370960974,"2004-09"
2015-08-31,"San Rafael","CA","San Francisco","Marin",564,836000,-0.000358722946311132,-0.00606348828914517,0.0548895899053628,0.0553474683200319,0.00453702801800526,"2015-05","2015-Q2",841100,-0.00606348828914517,"2015-05"
2015-08-31,"Yuba City","CA","Yuba City","Sutter",565,223900,0.00901306894997747,0.0219078046554085,0.043336439888164,0.0606488110117938,-0.0350518332855908,"2005-10","2005-Q4",323000,-0.306811145510836,"2004-01"
2015-08-31,"Cranston","RI","Providence","Providence",566,191600,0.00261643118785976,-0.00260281103591879,0.0132205182443152,-0.0076500573209215,-0.0329648078822844,"2006-05","2006-Q2",274300,-0.301494713816989,"2003-02"
2015-08-31,"Waipahu","HI","Honolulu","Honolulu",567,557400,0.00595560368164591,0.0191991223258365,0.044406970207982,0.0353160245024864,0.0177221955964069,"2015-08","2015-Q3",557400,0,"2015-08"
2015-08-31,"North Little Rock","AR","Little Rock","Pulaski",568,88400,0.00113250283125708,0.00226757369614512,-0.0155902004454343,-0.00665247542038405,0.00668749888522879,"2009-11","2009-Q4",95400,-0.0733752620545073,"2008-05"
2015-08-31,"Asheville","NC","Asheville","Buncombe",569,215700,0.0136278195488722,0.0295942720763723,0.085556114745848,0.0396363042790688,0.0305800373950267,"2015-08","2015-Q3",215700,0,"2015-08"
2015-08-31,"Gastonia","NC","Charlotte","Gaston",570,103100,0.00585365853658537,0.0248508946322068,0.0921610169491525,0.0126903267276721,0.00235813516724881,"2008-02","2008-Q1",105700,-0.0245979186376537,"2007-07"
2015-08-31,"Noblesville","IN","Indianapolis","Hamilton",571,169700,0.00354819633353046,0.0137395459976105,0.0291085506367495,0.0228136804214474,0.00440665532707696,"2014-05","2014-Q2",170800,-0.00644028103044497,"2014-05"
2015-08-31,"Chino Hills","CA","Riverside","San Bernardino",572,587300,-0.00169981302056774,-0.00356294536817102,0.0122371596001379,0.0478523481114341,0.00126881302762305,"2006-04","2006-Q2",639900,-0.0822003438037193,"2005-09"
2015-08-31,"Winchester","VA","Winchester","Frederick",573,214200,0.00374882849109653,0.00942507068803016,0.0443686006825939,0.0263278979552382,-0.0285622330215922,"2006-01","2006-Q1",300400,-0.286950732356858,"2004-08"
2015-08-31,"Statesville","NC","Statesville","Iredell",574,111200,0.0109090909090909,0.0305838739573679,0.0570342205323194,0.0241357509064899,0.0107736923359609,"2015-08","2015-Q3",111200,0,"2015-08"
2015-08-31,"Avondale","AZ","Phoenix","Maricopa",575,172500,0.00641773628938156,0.0170990566037736,0.0608856088560886,0.0983823130134372,-0.0366957495745655,"2006-01","2006-Q1",271300,-0.364172502764467,"2004-10"
2015-08-31,"Mooresville","NC","Statesville","Iredell",576,219900,0.0027359781121751,0.0077910174152154,0.0572115384615385,0.0302039317228424,0.0211347079444073,"2015-08","2015-Q3",219900,0,"2015-08"
2015-08-31,"Passaic","NJ","New York","Passaic",577,292000,0.00724387719903415,0.00828729281767956,0.0867138072199479,0.0318763388198273,-0.0175047248628598,"2007-06","2007-Q2",389900,-0.251090023082842,"2004-11"
2015-08-31,"Bolingbrook","IL","Chicago","Will",578,192300,0.00522739153162572,0.00997899159663865,0.0388978930307942,0.000834116476630342,-0.0174863627771923,"2007-04","2007-Q2",243800,-0.21123872026251,"2003-09"
2015-08-31,"Aiken","SC","Augusta","Aiken",579,115700,0.00173160173160173,0.0122484689413823,0.084348641049672,0.0180510079914995,0.027744280768347,"2015-08","2015-Q3",115700,0,"2015-08"
2015-08-31,"Casper","WY","Casper","Natrona",580,181500,0.0038716814159292,0.0128348214285714,0.0236886632825719,0.0251528452780041,0.0246302490339674,"2008-02","2008-Q1",199200,-0.088855421686747,"2007-04"
